MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,15;0,29;1290;1320;330;80;13;1,5;2,5;3,5;5;0
0,15;0,29;1320;1340;325;85;13;1,5;2,5;3,5;5;0
0,15;0,29;1340;1360;320;90;13;1,5;2,5;3,5;5;0
0,15;0,29;1360;1380;315;95;13;1,5;2,5;3,5;5;0
0,15;0,29;1380;1400;310;100;13;1,5;2,5;3,5;5;0
0,15;0,29;1400;1420;305;105;13;1,5;2,5;3,5;5;0
0,15;0,29;1420;1440;300;110;13;1,5;2,5;3,5;5;0
0,15;0,29;1440;1460;297;113;13;1,5;2,5;3,5;5;0
0,3;0,39;1290;1320;327;83;14;1,5;2,5;3,5;5;0
0,3;0,39;1320;1340;323;87;14;1,5;2,5;3,5;5;0
0,3;0,39;1340;1360;320;90;14;1,5;2,5;3,5;5;0
0,3;0,39;1360;1380;317;97;14;1,5;2,5;3,5;5;0
0,3;0,39;1380;1400;308;102;14;1,5;2,5;3,5;5;0
0,3;0,39;1400;1420;303;107;14;1,5;2,5;3,5;5;0
0,3;0,39;1420;1440;300;110;14;1,5;2,5;3,5;5;0
0,3;0,39;1440;1460;295;115;14;1,5;2,5;3,5;5;0
0,4;0,49;1290;1320;320;90;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1320;1340;315;95;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1340;1360;300;100;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1360;1380;305;105;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1380;1400;300;110;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1400;1420;298;112;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1420;1440;295;115;14,5;1,5;2,5;3,5;5;0
0,4;0,49;1440;1460;293;117;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1290;1320;315;95;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1320;1340;310;100;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1340;1360;305;105;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1360;1380;300;110;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1380;1400;295;112;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1400;1420;290;115;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1420;1440;287;117;14,5;1,5;2,5;3,5;5;0
0,5;0,59;1440;1460;285;120;14,5;1,5;2,5;3,5;5;0
0,6;0,69;1290;1320;312;98;15;1,5;2,5;3,5;5;0
0,6;0,69;1320;1340;310;100;15;1,5;2,5;3,5;5;0
0,6;0,69;1340;1360;305;105;15;1,5;2,5;3,5;5;0
0,6;0,69;1360;1380;300;110;15;1,5;2,5;3,5;5;0
0,6;0,69;1380;1400;297;113;15;1,5;2,5;3,5;5;0
0,6;0,69;1400;1420;295;115;15;1,5;2,5;3,5;5;0
0,6;0,69;1420;1440;293;120;15;1,5;2,5;3,5;5;0
0,6;0,69;1440;1460;290;122;15;1,5;2,5;3,5;5;0
0,7;0,79;1290;1320;310;100;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1320;1340;305;105;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1340;1360;303;107;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1360;1380;300;110;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1380;1400;297;113;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1400;1420;295;115;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1420;1440;290;120;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1440;1460;285;123;15,5;1,5;2,5;3,5;5;0
0,8;0,89;1290;1320;305;105;16;1,5;2,5;3,5;5;0
0,8;0,89;1320;1340;300;110;16;1,5;2,5;3,5;5;0
0,8;0,89;1340;1360;295;115;16;1,5;2,5;3,5;5;0
0,8;0,89;1360;1380;293;117;16;1,5;2,5;3,5;5;0
0,8;0,89;1380;1400;290;120;16;1,5;2,5;3,5;5;0
0,8;0,89;1400;1420;287;123;16;1,5;2,5;3,5;5;0
0,8;0,89;1420;1440;285;125;16;1,5;2,5;3,5;5;0
0,8;0,89;1440;1460;283;127;16;1,5;2,5;3,5;5;0
0,9;0,99;1290;1320;300;110;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1320;1340;297;113;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1340;1360;295;115;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1360;1380;293;117;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1380;1400;290;120;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1400;1420;287;123;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1420;1440;285;125;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1440;1460;280;130;16,5;1,5;2,5;3,5;5;0
1;1,1;1290;1320;297;113;17;1,5;2,5;3,5;5;0
1;1,1;1320;1340;295;115;17;1,5;2,5;3,5;5;0
1;1,1;1340;1360;290;120;17;1,5;2,5;3,5;5;0
1;1,1;1360;1380;285;125;17;1,5;2,5;3,5;5;0
1;1,1;1380;1400;283;127;17;1,5;2,5;3,5;5;0
1;1,1;1400;1420;280;130;17;1,5;2,5;3,5;5;0
1;1,1;1420;1440;278;132;17;1,5;2,5;3,5;5;0
1;1,1;1440;1460;278;132;17;1,5;2,5;3,5;5;0
1,11;1,25;1290;1320;295;115;18;1,5;2,5;3,5;5;0
1,11;1,25;1320;1340;290;120;18;1,5;2,5;3,5;5;0
1,11;1,25;1340;1360;287;123;18;1,5;2,5;3,5;5;0
1,11;1,25;1360;1380;285;125;18;1,5;2,5;3,5;5;0
1,11;1,25;1380;1400;283;127;18;1,5;2,5;3,5;5;0
1,11;1,25;1400;1420;280;130;18;1,5;2,5;3,5;5;0
1,11;1,25;1420;1440;278;132;18;1,5;2,5;3,5;5;0
1,11;1,25;1440;1460;278;132;18;1,5;2,5;3,5;5;0
